good_channel bad_channel
2.312072339138993e-10 3.5444024888420245e-06
1.4602176179323578e-07 5.896225957258139e-06
3.693200530553026e-13 1.0213847900786277e-07
7.918071198709242e-10 1.754024054889669e-07
3.0668385608834114e-09 4.107285462850996e-07
1.014684691824641e-08 4.614286353898933e-06
8.072754280874506e-05 0.0007308987551368773
9.71794644755164e-09 1.365260682284486e-09
5.417962190001901e-10 1.717580921933859e-08
3.62961181110677e-08 1.3254721409339254e-07
1.705828545084387e-08 1.584955988676029e-08
7.141144564570823e-09 8.07176603334625e-10
2.716831426496924e-09 6.3478395873062254e-09
2.899199491590565e-10 9.689981794736013e-08
6.902512339479472e-09 2.7754440412586234e-10
2.814314559174136e-09 9.763417629926607e-09
2.200021675946573e-08 5.2621036417122014e-08
1.3443942847857215e-08 1.7818830855276246e-08
9.582612925385092e-09 1.3355669903347689e-09
3.2101374891624346e-09 7.553119907299788e-09
7.572141524914144e-11 4.4333088311532265e-08
1.8295177994787082e-07 7.1293925429927185e-06
1.5128064489999815e-07 1.2696314115601126e-06
2.9411435509274497e-09 3.017856613496406e-07
9.21126286357321e-09 9.059155559043575e-07
1.3711710655783804e-09 5.191894160816446e-06
9.463173711310446e-08 1.4786773135710973e-05
8.328717376571149e-05 0.0006415105890482664
7.594497475338358e-09 1.4658532720979167e-10
2.5231028377703524e-09 1.0470954769914442e-08
3.4669255910557695e-08 1.1626107720985601e-07
2.6961920696066954e-08 1.3213035998660416e-08
9.687294522109369e-09 5.923667667495636e-10
9.57091739195448e-10 5.6666715764208675e-09
1.7774850480378745e-09 6.203752889177849e-08
7.87722509443256e-09 5.274201075877727e-10
1.0457806842723016e-09 1.3324847003559626e-08
2.313296576517132e-08 5.464967145485389e-08
1.3591243686050802e-08 1.4834483863523928e-08
6.982807665423252e-09 1.9479599877580966e-10
4.537617837030439e-09 5.377624567870498e-09
1.2366878632263933e-09 3.708682783098993e-08
9.207380458065018e-07 6.925169145688415e-05
4.16557412563634e-07 0.0003261036763433367
3.002422269138272e-11 4.1454140387031657e-07
9.609265561039138e-08 6.114750590313633e-07
3.6092640698370815e-07 3.527019998728065e-06
1.0683818345569307e-06 6.255543121369556e-05
0.0003206793626304716 0.0021431429777294397
2.1865777455332136e-07 1.074700207936985e-06
1.7777037442101573e-07 2.4453700007143198e-06
7.571492766089705e-09 1.9387687288929811e-10
7.375332700121362e-08 1.9630871861409105e-07
9.855495619603971e-08 1.2566324869567325e-07
2.6174782874477387e-07 4.5047505636830465e-07
1.3508766016911977e-07 5.236854121903889e-05
7.0764438753201375e-09 2.1810006578526497e-10
3.5272966769639424e-09 1.0667081440374204e-08
1.3196742365551017e-08 4.8844729150232524e-08
1.3757086136934049e-08 1.872656696377817e-08
6.7603989073461435e-09 3.805354989450116e-11
6.078879177806584e-09 4.194347980046587e-09
3.283942007215046e-09 2.160623147062779e-08
2.0756974095093028e-07 7.171828997343255e-07
2.1062660948700795e-07 2.175849658669904e-06
7.675577506915943e-09 1.7683995934270058e-10
5.398921132382384e-08 2.962040070997318e-07
1.5393423780096782e-07 8.706241487743682e-07
3.4374485835542146e-07 4.2004316469501646e-07
1.1472893675090745e-06 4.3933385313721374e-05
6.696274645889844e-10 1.477003905847596e-07
8.973899667807927e-08 1.8219541431108155e-08
9.016323687660588e-09 2.911689778173354e-10
4.3442649477754e-09 6.0446634364552665e-09
5.19161513778954e-09 2.208717120311121e-08
2.092835460487663e-09 1.7946703678717313e-07
2.960248093586415e-05 0.00043851800728589296
6.66364607937453e-09 1.5625135907360033e-10
2.498559803498779e-09 1.0697945640458784e-08
4.812077847304863e-08 3.509647683586081e-08
1.6529021706901403e-08 1.9697608877322637e-08
9.388893218442718e-09 2.151494760127548e-09
9.517199250907993e-10 1.3564133816146295e-08
1.2301043517126686e-09 2.0370224618204702e-08
8.175406129851126e-09 1.9907728243673262e-10
2.4525109720840987e-10 1.3293500522593149e-08
2.3092621148634862e-08 5.635769895206977e-08
1.3052233960308968e-08 1.0545559092633994e-08
6.723202883307522e-09 7.495544462887693e-11
3.472667264858842e-09 7.806741031401998e-09
8.076612156848739e-10 3.816447247118049e-08
2.579292557314261e-09 8.085505669441773e-07
1.1387497806936153e-06 5.629335078083386e-07
7.525383871609392e-09 3.111048130222116e-08
2.7954785708494967e-10 7.80510092113218e-08
3.596547226702995e-10 2.383604282840679e-07
1.3654501973547895e-09 5.903413011765224e-07
2.3107633751351386e-05 0.001616571331396699
8.75478978201727e-09 6.150201459220739e-10
1.3202278159596403e-09 3.5024727562671387e-09
7.397634504968664e-09 2.8958258013744853e-10
6.508437344621143e-09 2.346531857710943e-10
7.522948486382575e-09 5.335612507373355e-10
9.63486712635131e-09 2.7369970734270055e-09
0.00037886315840296447 0.003363854717463255
1.008660532875183e-08 9.304466530579703e-09
3.613714483208241e-08 8.600343903708563e-07
1.758704092935659e-05 7.254996307892725e-05
2.37887203269338e-08 7.21228303746102e-08
1.725446985290091e-08 3.2847520259338125e-08
6.4892193840648815e-09 5.41214795202194e-10
6.546489572656355e-08 9.635373316996265e-06
8.347820212861734e-10 8.222519909395487e-08
2.4951482546775594e-10 6.725715451239012e-08
6.46523190539483e-09 2.8755753334053225e-10
1.6056976859246674e-09 2.4849363455814455e-08
2.116643527116935e-09 4.880060089362814e-08
1.2913549396476043e-10 1.878713504765983e-07
1.112279051085352e-07 5.951111688773381e-06
1.0567650754467195e-08 2.2033784574659876e-08
1.9623352898179292e-07 4.480242296267534e-06
4.972314400220057e-06 3.5906279663322493e-05
1.3655741213369765e-06 7.964055839693174e-06
1.7998683432551843e-08 3.771324230683604e-08
2.2289587775503605e-07 6.3820002651482355e-06
1.2547967287446227e-07 8.379520295420662e-06
2.747978840034193e-07 2.5023586204042658e-05
1.0611282164063596e-07 9.99793701339513e-06
5.046579154566189e-09 1.4050302032941886e-09
1.13673067403397e-07 7.403757535939803e-06
3.5369217243896856e-07 2.1732425011578016e-05
3.24444329180551e-07 5.9782385505968705e-05
1.3759731132267916e-07 9.145059448201209e-05
3.414923677169668e-09 6.206662295227261e-09
8.841442855622716e-11 2.4145606403180864e-07
9.479861340366824e-09 4.561081790033228e-10
7.16369186193333e-09 3.348397115132684e-10
6.420323384048743e-09 6.772675475996692e-11
1.2788301528843249e-09 4.066069259067717e-09
0.0008476762450300157 0.0006933961412869394
8.902786494124904e-12 2.8367034943244107e-08
7.628618448052293e-08 9.783530003915075e-07
1.0425787877466064e-05 7.471805292880163e-05
8.187113209601193e-09 4.831215427714142e-09
2.3591615327944737e-09 4.0158623093589085e-09
5.0782159727313925e-11 9.141700019199561e-08
4.146676957361706e-08 8.144183084368706e-06
6.826111897950682e-10 2.4313749236171134e-07
5.450500606407616e-10 7.265485635343794e-08
7.372023880236611e-09 4.339648640439009e-10
1.1128330479337478e-09 6.502624216864206e-08
3.3692845735622257e-10 1.7916484296165436e-07
1.0696260717424355e-11 3.768697922623687e-07
1.6497125443493132e-07 4.80752805742668e-06
2.1411113948488492e-07 5.6061221584968735e-06
5.348566745055905e-08 1.8566032622402417e-06
6.297077081995894e-09 3.761164990567778e-10
1.4509939205709088e-07 2.4242119707196252e-06
7.242493893500068e-08 3.991618996224133e-06
3.751183328404295e-07 8.385616638406646e-06
3.193598558937083e-07 1.1436403838160913e-05
2.2014336309439386e-07 5.574826900556218e-06
6.40484785208173e-08 1.2363676660243073e-06
2.9929221323499178e-09 3.3143623401343802e-09
1.552069477384066e-07 3.4152972148149274e-06
1.8365665255259955e-07 5.541055088542635e-06
2.3274071736523183e-07 7.082484899001429e-06
1.6425954640908458e-07 1.0543842108745594e-05
5.782568646139907e-09 7.262925677542498e-11
1.0887932333503159e-08 3.021221939292218e-09
7.70307195807618e-09 7.980180405375847e-10
3.1387223931034214e-09 4.931467734170525e-11
8.369742232616773e-09 7.232424659164849e-10
8.90030182887358e-09 7.450173256096093e-10
6.445016076384036e-09 2.7552288228704924e-10
4.07717877237701e-08 1.7765688653526013e-07
7.0506313461227155e-12 1.5023699972971372e-07
4.6426393396359344e-07 3.1426691293745534e-06
7.69882362305907e-08 3.796732244154555e-07
3.661994085746301e-08 1.377799208057695e-07
1.128167337327568e-08 1.8252359623716075e-08
2.244143537666332e-09 7.718742267570633e-08
5.0370783100106564e-08 1.4100287444307469e-06
1.3994965186725494e-09 3.3928267839655746e-07
4.6279780008262605e-09 1.902967117217713e-09
1.5810595020704366e-12 5.912045821787615e-07
6.879073310983586e-08 1.2170279433121323e-06
8.751020175168378e-08 2.586056098152767e-06
1.3088438777231204e-07 3.981895588367479e-06
4.0992944150275434e-08 9.603176067685126e-07
7.983304989300777e-11 3.0344003221216553e-07
3.4914562352383882e-09 2.632922324607989e-09
4.952081106290862e-11 6.648483577009756e-07
4.1703955844241136e-08 1.2738979648929671e-06
7.348209862811927e-08 1.8005503079621121e-06
1.5210177650715195e-07 5.60684884476359e-06
4.534758790697424e-09 3.5105504281318645e-08
4.362372685307037e-09 6.021760441399238e-07
9.725092731116547e-09 1.524202986047385e-09
8.824144970276393e-09 6.84844958520614e-11
6.4782308406563516e-09 3.5385629981732336e-09
3.722956609664152e-09 2.6377072970262816e-08
1.9675160274346126e-06 0.0004808543890248984
7.847863692234114e-09 1.3244670638012934e-10
2.2141779520978844e-09 1.803153892865339e-08
1.2840570207117707e-07 7.30154113171011e-07
9.440523918158306e-09 5.203577124746062e-09
7.1536057077992155e-09 2.4549043353694344e-10
6.9009793435270694e-09 3.4744374044493043e-09
1.3441433521776958e-09 5.504559226210404e-07
3.856503116850263e-09 3.124301528600881e-08
1.4046936946954247e-09 5.388675390349817e-07
9.93190951703582e-09 2.1697923457963952e-09
9.462382877245545e-09 8.495284475884546e-10
7.776192134656412e-09 1.8276425928220874e-09
3.6365372935165396e-09 2.384478392514211e-08
4.3813597585540265e-06 0.001580599695444107
1.0194777466665528e-08 1.1929425502987812e-10
5.54525758644786e-09 7.87420219694468e-07
6.129995995252102e-07 4.192612323095091e-06
1.2661784865031223e-07 5.128046041136258e-07
1.2246848868358029e-08 2.370658336303677e-09
8.547466734398768e-09 3.6644948409048084e-07
6.379088546282219e-08 2.52043605541985e-06
9.519234112076447e-08 4.511930455919355e-06
4.10805292005989e-08 1.4027091310708784e-06
5.178694806318163e-09 1.9844248466682757e-09
1.86793780443395e-08 1.3642649037137744e-06
1.0199675415378806e-07 2.830054654623382e-06
8.603090861925011e-08 4.2423871491337195e-06
2.0982446358175366e-07 8.350612006324809e-06
9.0999883184395e-09 3.5116961782932776e-08
2.880487137701948e-08 5.978569674880418e-07
2.1006270500834034e-08 1.5878237391575567e-08
4.10894740454637e-09 3.119551728048009e-09
8.56949622374259e-09 1.108983571640465e-08
7.273065705248882e-08 1.4482048982245033e-07
4.395672476675827e-06 0.0008159722783602774
1.0404744843484082e-09 3.1415898771314232e-09
2.04785455260037e-09 5.14500129611406e-07
1.0057540578145563e-07 5.516744749911595e-07
8.428246900393788e-08 4.3290808093843225e-07
1.1299156277289057e-08 4.0126721501110296e-07
3.8158837201152096e-10 9.578229764883872e-07
1.5932630770265632e-09 1.123895003729558e-06
8.407436524748846e-09 2.7528399559884065e-09
1.1729854776376669e-07 4.732109118776862e-06
1.1848982239826e-06 8.386457921005785e-06
1.0772508858281071e-06 8.37489733385155e-06
6.957769187465601e-07 6.052507615095237e-06
1.7857861678294285e-07 4.435854862094857e-06
1.4720622232289315e-07 5.205667548580095e-06
8.123980421714805e-08 6.675617836293668e-10
5.976325923029435e-08 7.271822255461302e-07
4.962248834061711e-09 1.5236104600191425e-09
1.9686448027300685e-08 1.5763866878515387e-09
1.1794470822223957e-07 2.2182392456215894e-07
1.523120545243728e-07 1.5172379335126607e-06
