model_name data_fraction roc_auc
Vanilla 1.0 0.8176621661754626
Vanilla 1.0 0.8196488382704503
Vanilla 1.0 0.8164703940154725
Vanilla 1.0 0.8246421438328077
Vanilla 1.0 0.810044127235126
Vanilla 1.0 0.8189502615329697
Vanilla 1.0 0.8140498618826636
Vanilla 1.0 0.8154922390742745
Vanilla 1.0 0.8186236280459324
Vanilla 1.0 0.8183739572362372
Sparse 1.0 0.7454986852055633
Sparse 1.0 0.7459643456660461
Sparse 1.0 0.744723207252709
Sparse 1.0 0.7458657852528643
Sparse 1.0 0.7445178628149188
Sparse 1.0 0.7447854559347185
Sparse 1.0 0.7457406732691573
Sparse 1.0 0.7458141203218838
Sparse 1.0 0.7459299638406945
Sparse 1.0 0.7450887461660024
Contractive 1.0 0.8318998804195935
Contractive 1.0 0.8312219180264513
Contractive 1.0 0.7846025229892349
Contractive 1.0 0.7918308561701425
Contractive 1.0 0.8335460409149867
Contractive 1.0 0.8289031669139897
Contractive 1.0 0.8281242225060946
Contractive 1.0 0.8313880374357476
Contractive 1.0 0.8297594181862524
Contractive 1.0 0.8218959370196748
Variational 1.0 0.7440193202011232
Variational 1.0 0.7441339221881642
Variational 1.0 0.7438555117618539
Variational 1.0 0.7441104068388978
Variational 1.0 0.7441107141487419
Variational 1.0 0.7436106226933323
Variational 1.0 0.7441572777363115
Variational 1.0 0.7439362727888688
Variational 1.0 0.7441279235000083
Variational 1.0 0.7443177672292649
