,component,feature,axis
0,0.18081368791536961,qCalJetN_4,1
1,0.17948779605310666,qCalJetN_5,1
2,0.17681919581159955,qCalJetN_0,1
3,0.17668973334431692,qCalJetN_3,1
4,0.1734351497538246,qPFJetN_2,1
5,0.17334758507382564,qPFJetPt_4,1
6,0.16939524312859858,qCalJetN_6,1
7,0.16844902524768887,qPFJetPt_3,1
8,0.1648454475943578,qPFJetPt_2,1
9,0.16176330559671023,qCalJetEn_5,1
10,0.160385715951035,qpVtxChi2_3,1
11,0.15763973266117148,qCalJetN_2,1
12,0.15316154476495644,qPFJetN_3,1
13,0.15237783891515075,qpVtxChi2_4,1
14,0.14559559575056086,qPUEvt_5,1
15,0.1454222552995888,qPUEvt_6,1
16,0.14306913018873268,qPUEvt_0,1
17,0.14174540320928794,qCalJetPt_6,1
18,0.14118539979029235,qPUEvt_4,1
19,0.14045709563596892,qPUEvt_3,1
20,0.14007839513610604,qlumiEvt_6,1
21,0.1399646401355677,qPUEvt_2,1
22,0.13888340052931236,qlumiEvt_5,1
23,0.13887857381701404,qPFJetN_4,1
24,0.13761768562791446,qPFJetN_0,1
25,0.13710257128431635,qlumiEvt_0,1
26,0.13616999150735853,qlumiEvt_4,1
27,0.13543630722410055,qlumiEvt_3,1
28,0.1340314905306917,qlumiEvt_2,1
29,0.13144021624711674,qCalJetEn_4,1
30,0.12372153854190011,qPFJetN_5,1
31,0.11500740194735669,qCalJetEta_5,1
32,0.11361959497695706,qCalJetEn_3,1
33,0.10880761111885352,qCalJetEta_3,1
34,0.10769377273561431,qSCEn_3,1
35,0.10499697840580197,qPFJetN_6,1
36,0.09852703605003764,qCalJetN_1,1
37,0.09851388846602184,qCalJetEta_1,1
38,0.09664029618101096,qCalJetPt_0,1
39,0.08963953322753458,qPFJetPt_5,1
40,0.08316828621276819,qpVtxChi2_5,1
41,0.08139547657068728,qSCEn_5,1
42,0.08006796942095956,qCCEn_6,1
43,0.07613666486900968,qPFJetEta_1,1
44,0.07539071145970572,qCCEn_4,1
45,0.07450457587844488,qPFJetEta_6,1
