,component,feature,axis
0,0.43160260281862384,qglobTkNHits_0,1
1,0.3115892453230285,qglobTkNHits_3,1
2,0.3058288609359823,qglobTkNHits_5,1
3,0.2599883545686025,qglobTkNHits_4,1
4,0.1851284574361119,qglobTkChi2_5,1
5,0.16280588331828102,qpVtxChi2__6,1
6,0.15791867936349543,qglobTkNHits_6,1
7,0.1543823099753391,qglobTkChi2_6,1
8,0.14449813444154805,qpVtxX__2,1
9,0.1431171668886309,qpVtxX__6,1
10,0.1354131018484807,qpVtxChi2__2,1
11,0.1336498617802066,qpVtxChi2__5,1
12,0.13266461428085569,qpVtxNtr__1,1
13,0.13077240550022387,qglobTkPt_3,1
14,0.12815791510151772,qpVtxY__1,1
15,0.12722452502824133,qpVtxY__2,1
16,0.12704480154504938,qpVtxX__1,1
17,0.12629221856501002,qglobTkPt_4,1
18,0.11638159423480501,qpVtxNtr__0,1
19,0.11426072003707154,qpVtxNtr__6,1
20,0.10166903368014306,qpVtxX__5,1
21,0.09850161103140255,qpVtxY__6,1
22,0.09587492702633951,qglobTkEta_1,1
23,0.09586020929195026,qglobTkChi2_4,1
24,0.09549805449220285,qpVtxNtr__5,1
25,0.09537027245565598,qpVtxX__3,1
26,0.08975049381347107,qpVtxNtr__2,1
27,0.08633733422090724,qglobTkNHits_2,1
28,0.08570586106162295,qpVtxNtr__4,1
29,0.07710801640332968,qpVtxChi2__3,1
30,0.07549920342855074,qMuPt_5,1
31,0.07229928878805704,qpVtxNtr__3,1
32,0.07184458940406706,qMuN_0,1
33,0.07029816414437776,qMuNCh_1,1
34,0.06997759463055411,qPUEvt__6,1
35,0.06994676342515133,qMuN_2,1
36,0.06942129326301934,qPUEvt__5,1
37,0.06905863228263404,qPUEvt__0,1
38,0.06861541195173791,qMuNCh_5,1
39,0.06838385878050432,qglobTkN_6,1
40,0.06838385878050432,qglobTkN__6,1
41,0.06834183931610516,qPUEvt__4,1
42,0.06737656695836831,qPUEvt__3,1
43,0.06691014927205319,qPUEvt__2,1
44,0.0662477278084782,qMuN_3,1
45,0.06586440117077658,qglobTkN_1,1
46,0.06586440117077658,qglobTkN__1,1
47,0.06285646653604643,qMuN_5,1
48,0.0612929028828098,qglobTkEta_3,1
49,0.06106578475258034,qMuN_4,1
50,0.060685413434786624,qMuN_6,1
51,0.05789438747623832,qpVtxY__3,1
52,0.05579703710866193,qlumiEvt__6,1
53,0.05562544750823777,qlumiEvt__4,1
54,0.05560300431244799,qlumiEvt__5,1
55,0.05558431249820144,qlumiEvt__0,1
56,0.05504125542488792,qlumiEvt__3,1
57,0.05446811947669195,qlumiEvt__2,1
58,0.05248741703236216,qMuN_1,1
59,0.051371998394787316,qglobTkN_0,1
60,0.051371998394787316,qglobTkN__0,1
61,0.0513470152526444,qpVtxChi2__4,1
62,0.05043764428557199,qglobTkPt_5,1
63,0.048093265089918506,qMuPt_6,1
64,0.04604389860308351,qMuEn_5,1
65,0.045259698212016565,qglobTkChi2_3,1
66,0.044785590998159513,qMuNCh_6,1
67,0.04388451772290829,qMuEta_1,1
68,0.04142205026348264,qMuNCh_0,1
69,0.040736661444606304,qglobTkN_5,1
70,0.040736661444606304,qglobTkN__5,1
71,0.0396952902420916,qglobTkEta_2,1
72,0.03706276376245703,qMuEn_6,1
73,0.031146111210933036,qMuEta_3,1
74,0.029521238509132623,qpVtxY__5,1
75,0.029087944006251726,qglobTkEta_6,1
76,0.029056305837448435,qglobTkEta_5,1
77,0.02706543815394541,qglobTkNHits_1,1
78,0.020091564725469503,qMuEta_2,1
79,0.020080613056596582,qglobTkChi2_2,1
80,0.017577640156091222,qMuEta_6,1
81,0.014449953502150248,qpVtxY__4,1
82,0.014248778443616746,qMuEta_5,1
83,0.013704526238641697,qpVtxY__0,1
84,0.013327171435192218,qglobTkN_4,1
85,0.013327171435192218,qglobTkN__4,1
86,0.010391872798002643,qMuPt_4,1
87,0.010186964548682467,qMuEn_4,1
88,0.009760204800613745,qglobTkN_2,1
