,component,feature,axis
0,0.9999450360022624,qgTkPt_6,1
1,0.003553349046669163,qgTkPhi_6,1
2,0.00348926052902606,qpVtxChi2_4,1
3,0.00342780820636818,qgTkPhi_3,1
4,0.0031179093894914277,qgTkPhi_4,1
5,0.002701815966782952,qgTkChi2_6,1
6,0.0026293773500461214,qgTkPhi_0,1
7,0.0022579957967404137,qpVtxChi2_3,1
8,0.002101091416194965,qgTkPhi_1,1
9,0.001728451650462131,qpVtxChi2_5,1
10,0.0017273096617531041,qgTkPhi_2,1
11,0.0017127602403988682,qgTkChi2_5,1
12,0.001510818795242489,qgTkEta_6,1
13,0.0012359648177855283,qgTkPhi_5,1
14,0.0011683713163017227,qgTkEta_1,1
15,0.0010662213750696854,qgTkPt_2,1
16,0.0010364965639571508,qpVtxZ_1,1
17,0.0010278406580105925,qgTkChi2_4,1
18,0.0009575059893346942,qgTkEta_5,1
19,0.0009343614575543493,qgTkNLay_1,1
20,0.0009260495769053345,qgTkEta_2,1
21,0.0009193669346387024,qgTkN_6,1
22,0.0009154347861752904,qgTkN_5,1
23,0.0008957379579675293,qgTkEta_0,1
24,0.0008949532094314512,qgTkNHits_1,1
25,0.0008927527164625115,qpVtxNtr_1,1
26,0.0008916024368300012,qgTkN_4,1
27,0.0008729414591874262,qgTkN_0,1
28,0.0008506798834950086,qgTkPt_4,1
29,0.0008106959475434024,qpVtxNtr_0,1
30,0.000795177704594788,qpVtxChi2_6,1
31,0.0007894106032512956,qpVtxNtr_3,1
32,0.0007550621558772577,qgTkN_3,1
33,0.0007459361198626633,qgTkChi2_3,1
34,0.0007368090059134626,qpVtxNtr_4,1
35,0.0007275686472760925,qgTkN_1,1
36,0.0007179892523878466,qpVtxNtr_5,1
37,0.0007127149258330458,qgTkNLay_6,1
38,0.0007049736932646423,qpVtxNtr_6,1
39,0.0006787894402135438,qpVtxChi2_2,1
40,0.0006483716536215991,qgTkNHits_6,1
41,0.0006144999254318293,qgTkEta_4,1
42,0.000607156213551482,qgTkChi2_2,1
43,0.0005903639348069064,qgTkNLay_0,1
44,0.0005628886595019412,qgTkN_2,1
45,0.0005441113128084429,qgTkNHits_0,1
46,0.0005037952248757987,qPUEvt_6,1
47,0.0004924355628078149,qgTkNHits_5,1
48,0.0004896621429311123,qPUEvt_5,1
49,0.00048236059667779613,qPUEvt_0,1
50,0.00047843707892208486,qgTkNHits_4,1
51,0.0004756050899780664,qgTkNLay_4,1
52,0.00047536398242277163,qPUEvt_4,1
53,0.00047472780944837355,qgTkNLay_5,1
54,0.0004728316322239776,qpVtxNtr_2,1
55,0.00046907882136295914,qPUEvt_3,1
56,0.0004642863129561953,qPUEvt_2,1
57,0.00046174873594367243,qlumiEvt_6,1
58,0.0004525791894188874,qlumiEvt_5,1
59,0.00044790613782568693,qlumiEvt_0,1
60,0.0004444393381376122,qlumiEvt_4,1
61,0.00044219174030724295,qpVtxY_1,1
62,0.00043989923460423355,qpVtxX_1,1
63,0.00043775951677480076,qlumiEvt_3,1
64,0.0004367411276529037,qgTkNLay_3,1
65,0.00043336130947321344,qlumiEvt_2,1
66,0.0003688789361665658,qgTkPt_3,1
67,0.0003559906487139257,qgTkEta_3,1
68,0.0003281557168468207,qpVtxY_6,1
69,0.0003238694544448684,qgTkNHits_3,1
70,0.00028149673708187183,qpVtxY_5,1
71,0.00027761306842612757,qgTkNHits_2,1
72,0.0002733261132794286,qpVtxX_2,1
73,0.0002686450746135684,qpVtxX_6,1
74,0.00022672598544833954,qpVtxZ_2,1
75,0.00020485787402434278,qpVtxY_2,1
76,0.00019172571801406908,qpVtxX_5,1
77,0.0001901949496740455,qpVtxX_3,1
78,0.00015709534605537362,qpVtxZ_6,1
79,0.0001539394907390161,qgTkNLay_2,1
80,0.00010962195598766232,qpVtxZ_3,1
81,9.117520684831237e-05,qpVtxY_3,1
82,7.957800016775077e-05,qgTkPt_5,1
83,6.415559288245596e-05,qgTkPt_0,1
84,6.107884752627645e-05,qpVtxY_0,1
85,5.461630281987085e-05,qpVtxY_4,1
86,4.184887696924686e-05,qpVtxZ_5,1
87,3.485596974283854e-05,qpVtxZ_0,1
88,3.389968115262606e-05,qpVtxZ_4,1
89,2.2194453819436072e-05,qPUEvt_1,1
90,2.11279933769841e-05,qlumiEvt_1,1
91,1.4157554698870871e-05,qpVtxX_4,1
92,1.0869129325533083e-05,qpVtxX_0,1
93,9.278605583105766e-06,qgTkChi2_0,1
94,6.659091039603188e-06,qgTkChi2_1,1
95,1.803541730227108e-06,qpVtxChi2_0,1
96,8.968411902869165e-07,qgTkPt_1,1
97,8.257496017800587e-07,qpVtxChi2_1,1
98,0.21133967715012278,qPUEvt_6,2
99,0.2085121056070069,qPUEvt_0,2
100,0.20838438856170916,qPUEvt_5,2
101,0.20630457892840984,qPUEvt_3,2
102,0.20615880722672605,qPUEvt_4,2
103,0.2061091343459418,qlumiEvt_6,2
104,0.2060128670204447,qPUEvt_2,2
105,0.2057140000400025,qlumiEvt_0,2
106,0.20474473441892735,qlumiEvt_5,2
107,0.2047127697391546,qlumiEvt_4,2
108,0.20441707910828225,qlumiEvt_3,2
109,0.20408583724570906,qlumiEvt_2,2
110,0.20201591637708652,qgTkN_4,2
111,0.20053179195682763,qgTkN_5,2
112,0.1963838913331753,qgTkN_0,2
113,0.19412887270767532,qgTkN_6,2
114,0.17829499211823344,qgTkN_3,2
115,0.1667339453174637,qgTkChi2_6,2
116,0.16307021914067493,qgTkPt_2,2
117,0.14691809148077634,qgTkN_2,2
118,0.13898239887740144,qgTkN_1,2
119,0.13782295274848286,qgTkPt_3,2
120,0.1377928387079407,qgTkChi2_5,2
121,0.12789153791338373,qgTkPhi_4,2
122,0.11548568536485464,qgTkPt_4,2
123,0.11529508101685926,qgTkPt_5,2
124,0.11349763461282332,qpVtxChi2_4,2
125,0.11123255028019538,qgTkPhi_0,2
126,0.09872680610224514,qgTkPhi_3,2
127,0.09580869581873042,qgTkPhi_5,2
128,0.08534511184872505,qgTkPhi_6,2
129,0.07731182535072875,qpVtxX_1,2
130,0.07695534542378668,qpVtxY_1,2
131,0.07397450169961087,qpVtxChi2_5,2
132,0.06777602356664246,qgTkNLay_5,2
133,0.06227929309874373,qgTkEta_1,2
134,0.055540882768620195,qpVtxChi2_3,2
135,0.05431853608055132,qpVtxNtr_1,2
136,0.05365015815981474,qpVtxChi2_6,2
137,0.04648506078290954,qpVtxX_2,2
